192.168.0.1 - - [26/May/2020:14:33:57 +0900] "GET /favicon.ico HTTP/1.1" 404 721
192.168.0.1 - - [26/May/2020:14:34:53 +0900] "GET /announce/view?idx=1 HTTP/1.1" 200 5748
192.168.0.1 - - [26/May/2020:14:34:55 +0900] "GET /announce/announcement HTTP/1.1" 200 6165
192.168.0.1 - - [26/May/2020:14:35:00 +0900] "GET / HTTP/1.1" 200 4346
211.203.241.242 - - [26/May/2020:14:46:47 +0900] "GET / HTTP/1.1" 200 4346
211.203.241.242 - - [26/May/2020:14:46:57 +0900] "GET /sub/company HTTP/1.1" 200 4780
211.203.241.242 - - [26/May/2020:14:47:03 +0900] "GET /sub/location HTTP/1.1" 200 6914
211.203.241.242 - - [26/May/2020:14:47:03 +0900] "GET /resources/img/location/bus1.jpg HTTP/1.1" 200 4859
211.203.241.242 - - [26/May/2020:14:47:03 +0900] "GET /resources/js/jstyle.js HTTP/1.1" 404 721
211.203.241.242 - - [26/May/2020:14:47:03 +0900] "GET /resources/js/jquery-3.4.1.min.js HTTP/1.1" 404 721
211.203.241.242 - - [26/May/2020:14:47:03 +0900] "GET /resources/img/location/bus2.jpg HTTP/1.1" 200 4930
211.203.241.242 - - [26/May/2020:14:47:41 +0900] "GET / HTTP/1.1" 200 4346
211.203.241.242 - - [26/May/2020:14:47:44 +0900] "GET /announce/announcement HTTP/1.1" 200 6165
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /sub/goods HTTP/1.1" 200 7515
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods1.png HTTP/1.1" 200 44911
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods5.png HTTP/1.1" 200 37269
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods2.png HTTP/1.1" 200 101531
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods4.png HTTP/1.1" 200 126427
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods3.png HTTP/1.1" 200 109220
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods6.png HTTP/1.1" 200 130840
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods7.png HTTP/1.1" 200 125449
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods8.png HTTP/1.1" 200 111394
211.203.241.242 - - [26/May/2020:14:47:45 +0900] "GET /resources/img/goods/goods9.png HTTP/1.1" 200 99329
211.203.241.242 - - [26/May/2020:14:48:01 +0900] "GET /sub/business HTTP/1.1" 200 5410
211.203.241.242 - - [26/May/2020:14:48:30 +0900] "GET /sub/business HTTP/1.1" 200 5410
118.42.44.80 - - [26/May/2020:14:56:54 +0900] "GET / HTTP/1.1" 200 4346
118.42.44.80 - - [26/May/2020:14:56:54 +0900] "GET /resources/css/style.css HTTP/1.1" 200 19062
118.42.44.80 - - [26/May/2020:14:56:54 +0900] "GET /favicon.ico HTTP/1.1" 404 721
118.42.44.80 - - [26/May/2020:14:56:54 +0900] "GET / HTTP/1.1" 200 4346
